_time,vcc,vpanel,tmp,hum,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,value,sensor_name,log_s0,log_s1,log_s2,log_s3,log_s4,log_s5,log_s6,log_s7,log_s8,log_s9,D0,D1,D2,D3,D4,D5,D6,D7,D8,value_encoded
2024-06-03 17:45:00+00:00,"3,505","2,699","32,93","40,313",68500,4319500,4029500,3389300,324600,301400,280800,63000,76000,86100,fire,Tree05,4.835696911511578,6.635433578883521,6.605251267886911,6.530110139753346,5.511349853425558,5.479144688900184,5.448398650087784,4.799347442962076,4.880819306644274,4.9350081954950005,1.7997366673719428,-0.03018231099660973,-0.07514112813356455,-1.0187602863277885,-0.03220516452537403,-0.030746038812400123,-0.6490512071257077,0.08147186368219828,0.05418888885072626,1
2024-06-03 17:46:00+00:00,"3,505","2,698","31,91","42,903",57200,3254000,2947800,2472600,246300,225600,208800,52900,62000,70300,fire,Tree05,4.757403621287529,6.512417682065626,6.469498161846781,6.3931540405510345,5.391466175109913,5.353341020371231,5.319732574279659,4.723463881683146,4.792398694191473,4.8469615027067805,1.7550140607780973,-0.042919520218845264,-0.07634412129574653,-1.0016878654411219,-0.03812515473868139,-0.03360844609157265,-0.5962686925965128,0.06893481250832689,0.054562808515307815,1
2024-06-03 17:49:00+00:00,"3,501","2,716","30,54","46,197",67300,4077600,3847800,3341600,322200,302500,286900,69500,86100,101200,fire,Tree05,4.828021517288692,6.6104047270880155,6.585212603169126,6.523954592223074,5.508126883984527,5.480726814670352,5.45773206199199,4.841991053386625,4.9350081954950005,5.005184803930027,1.782383209799323,-0.02519212391888992,-0.061258010946051655,-1.0158277082385467,-0.027400069314174935,-0.02299475267836204,-0.6157410086053652,0.09301714210837542,0.07017660843502682,1
2024-06-03 17:50:00+00:00,"3,501","3,402","29,91","48,103",53800,2849300,2577700,2122800,219400,202500,185600,52500,64000,74100,fire,Tree05,4.730790347979507,6.4547383305080075,6.411232540022428,6.32690928354298,5.341238602698548,5.3064271722095,5.268580311825256,4.72016757560302,4.806186759782153,4.869824068863964,1.7239479825285002,-0.04350579048557979,-0.08432325647944783,-0.9856706808444322,-0.034811430489047446,-0.0378468603842439,-0.548412736222236,0.08601918417913268,0.06363730908181076,1
2024-06-03 17:51:00+00:00,"3,501","2,635","29,4","48,934",58500,3210000,2989700,2585000,251400,220100,197100,48100,54100,57200,fire,Tree05,4.767163289856027,6.506505167699082,6.475627756704622,6.412460715435531,5.400367000850409,5.342622015717797,5.294688827695882,4.682154105271285,4.7332052926568124,4.757403621287529,1.7393418778430547,-0.030877410994460064,-0.06316704126909123,-1.0120937145851219,-0.057744985132611504,-0.04793318802191493,-0.6125347224245976,0.05105118738552772,0.02419832863071658,1
2024-06-03 17:53:00+00:00,"3,501","2,583","29,12","50,444",34300,1421700,1309800,984800,111200,96800,85000,29500,31300,30600,fire,Tree05,4.535306781504905,6.1528082688944306,6.117205317665784,5.993348480920682,5.0461086927543946,4.985879843798463,4.929424035031084,4.46983673757549,4.495558212547868,4.485735618879807,1.617501487389526,-0.03560295122864687,-0.12385683674510162,-0.9472397881662875,-0.060228848955931724,-0.05645580876737899,-0.45958729745559346,0.025721474972377756,-0.009822593668061153,1
2024-06-03 17:54:00+00:00,"3,501","2,54","28,89","51,707",22200,692800,627200,506300,68400,61800,57300,25200,30200,34400,fire,Tree05,4.346372536824548,5.8406085058773165,5.797406742109634,5.704408785166918,4.835062451008234,4.790995502450762,4.758162201211584,4.401417774347623,4.48002132333105,4.536571067227623,1.4942359690527685,-0.0432017637676827,-0.09299795694271573,-0.869346334158684,-0.04406694855747251,-0.032833301239177715,-0.356744426863961,0.07860354898342692,0.05654974389657319,1
2024-06-03 17:55:00+00:00,"3,502","2,504","28,64","51,535",25400,828800,723600,561700,73800,65400,59300,24500,28400,30100,fire,Tree05,4.404850814491317,5.918450266404801,5.859499158373213,5.749505197054165,4.86806224653225,4.815584388861907,4.773062016986861,4.389183810308165,4.453333631837039,4.478580923742277,1.5135994519134846,-0.05895110803158854,-0.1099939613190477,-0.8814429505219152,-0.05247785767034241,-0.04252237187504626,-0.38387820667869654,0.06414982152887472,0.025247291905238,1
2024-06-03 17:56:00+00:00,"3,502","2,458","28,29","52,663",26200,889200,812000,645600,84200,74100,65600,22200,25200,26300,fire,Tree05,4.418317867128679,5.948999942437027,5.909556564086267,5.809964194412505,4.92531724936073,4.869824068863964,4.816910459667913,4.346372536824548,4.401417774347623,4.419972261274,1.5306820753083477,-0.03944337835075995,-0.09959236967376217,-0.8846469450517747,-0.055493180496766215,-0.05291360919605115,-0.4705379228433646,0.055045237523074775,0.0185544869263774,1
2024-06-03 17:58:00+00:00,"3,501","2,449","28,02","53,608",24500,778200,716800,583800,76900,71600,66000,26000,33400,40200,fire,Tree05,4.389183810308165,5.891091784543029,5.855398602533224,5.766264834561057,4.885931987287233,4.854919087830888,4.819550515711442,4.414990051283522,4.523759469445714,4.604236856295423,1.5019079742348644,-0.03569318200980476,-0.0891337679721671,-0.8803328472738245,-0.031012899456344556,-0.03536857211944611,-0.40456046442792015,0.10876941816219254,0.08047738684970884,1
2024-06-03 17:59:00+00:00,"3,499","2,457","27,74","54,2",34200,1298600,1180700,889800,107800,96800,87500,33700,39700,43400,fire,Tree05,4.534038804539547,6.113475732969445,6.072139931067553,5.94929288949276,5.032622789537803,4.985879843798463,4.942013016359459,4.527642787756754,4.5988014460329465,4.637499736182524,1.5794369284298986,-0.041335801901892566,-0.12284704157479265,-0.9166700999549571,-0.046742945739340236,-0.04386682743900394,-0.41437022860270467,0.07115865827619228,0.038698290149577375,1
